Index,Q1_text,Q1_code,Q2_text,Q2_code,Q3_text,Q3_code,Q4_text,Q4_code,Q5_text,Q5_code,Q6_text,Q6_code,Q7_text,Q7_code,Q8_text,Q8_code,Q9_text_original,Q9_code,Q10_text,Q10_code,Q11_text,Q11_code,Q12_text,Q12_code,Q13_text,Q13_code,Q14_text,Q14_code,Q15_text,Q15_code,Q16_text_original,Q16_code,Q17_text,Q17_code,Q18_text,Q18_code,Q19_text,Q19_code,Q20_text,Q20_code,Q21_text,Q21_code,Q22_text,Q22_code,Q23_text,Q23_code,Q24_text,Q24_code,Q25_text,Q25_code,Q26_text,Q26_code,Q27_text,Q27_code,Q28_text_original,Q28_code,Q29_text_original,Q29_code,Q30_text,Q30_code,Q31_text_original,Q31_code,Q32_text,Q32_code,Q33_text,Q33_code,Q34_text,Q34_code,Q29 text,Q16_text,Q9_text,Q28_text,Q29_text,Q31_text
6101,Grade 6,1,Male,1,I live with my parents,2,No,2,,-1,,-1,Confident,4,Often,4,['Short stories'],2,Rarely,2,Sometimes,3,Confident,4,Yes,1,Yes,1,Neutral,3,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","1,2,3,4,5,6,7,8",,-1,Geography,9,STEM,16,More than 2 hours,4,Often,4,6-7 hours,2,Often,4,2-3 times per week,4,15-30 minutes,2,Healthy,4,A little stressed,2,"['Play games', 'Watch videos or movies', 'Sleep or rest']","3,5,9","['Playing video games', 'Watching videos', 'Reading', 'Listening to music']","3,4,5,7",Less than 1 hour,1,['Bilibili'],6,Never,1,Sometimes (Every other week),3,,-1,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']",['Short stories'],"['Play games', 'Watch videos or movies', 'Sleep or rest']","['Playing video games', 'Watching videos', 'Reading', 'Listening to music']",['Bilibili']
6102,Grade 6,1,Male,1,I live with my parents,2,Yes,1,One,1,I have a younger sister,2,A little confident,2,Every day,5,"['School materials', 'Comic books']","4,5",,-1,Sometimes,3,Confident,4,Yes,1,Yes,1,Agree,4,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","1,2,3,4,5,6,7,8",STEM,16,Chinese,4,STEM,16,1-2 hours,3,Always,5,6-7 hours,2,Often,4,Every day,5,30-60 minutes,3,Very healthy,5,Not stressed at all,1,"['Sports', 'Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Read books', 'Draw or create art', 'Take a walk or go outside', 'Sleep or rest', 'Other']","1,2,3,4,5,6,7,8,9,10","['Sports', 'Drawing', 'Playing video games', 'Watching videos', 'Reading', 'Studying', 'Listening to music', 'Socializing with friends', 'Arts and crafts']","1,2,3,4,5,6,7,8,9",Less than 1 hour,1,"['WeChat', 'Xiaohongshu', 'Other']","1,4,8",Every day,5,Often (2-3 times a week),5,,-1,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","['School materials', 'Comic books']","['Sports', 'Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Read books', 'Draw or create art', 'Take a walk or go outside', 'Sleep or rest', 'Other']","['Sports', 'Drawing', 'Playing video games', 'Watching videos', 'Reading', 'Studying', 'Listening to music', 'Socializing with friends', 'Arts and crafts']","['WeChat', 'Xiaohongshu', 'Other']"
6103,Grade 6,1,Male,1,I live with my grandparents,3,No,2,,-1,,-1,Very confident,5,Every day,5,"['Novels', 'Short stories', 'Non-fiction', 'School materials', 'Comic books']","1,2,3,4,5",Always,5,Always,5,Very confident,5,Yes,1,Yes,1,Strongly agree,5,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","1,2,3,4,5,6,7,8",Drama,13,Geography,9,Math,1,30 minutes to 1 hour,2,Always,5,6-7 hours,2,Always,5,Every day,5,More than 1 hour,4,Very healthy,5,Very stressed,5,['Listen to music'],4,"['Sports', 'Playing video games', 'Watching videos', 'Listening to music', 'Socializing with friends']","1,3,4,7,8",Less than 1 hour,1,"['WeChat', 'Xiaohongshu', 'Other']","1,4,8",Never,1,Often (2-3 times a week),5,,-1,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","['Novels', 'Short stories', 'Non-fiction', 'School materials', 'Comic books']",['Listen to music'],"['Sports', 'Playing video games', 'Watching videos', 'Listening to music', 'Socializing with friends']","['WeChat', 'Xiaohongshu', 'Other']"
6104,Grade 6,1,Female,2,I live with my parents,2,No,2,,-1,,-1,A little confident,2,Sometimes,3,['School materials'],4,Never,1,Sometimes,3,A little confident,2,Yes,1,Yes,1,Neutral,3,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","1,2,3,4,5,6,7,8",Art,11,ESL,3,Art,11,More than 2 hours,4,Sometimes,3,6-7 hours,2,Sometimes,3,Every day,5,Less than 15 minutes,1,A little,2,Stressed,4,"['Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Draw or create art', 'Sleep or rest']","2,3,4,5,7,9","['Sports', 'Drawing', 'Playing video games', 'Watching videos', 'Listening to music', 'Socializing with friends', 'Arts and crafts']","1,2,3,4,7,8,9",Around 1 hour,2,"['WeChat', 'TikTok (Douyin)', 'Xiaohongshu']","1,2,4",Once or twice per month,2,Often (2-3 times a week),5,,-1,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']",['School materials'],"['Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Draw or create art', 'Sleep or rest']","['Sports', 'Drawing', 'Playing video games', 'Watching videos', 'Listening to music', 'Socializing with friends', 'Arts and crafts']","['WeChat', 'TikTok (Douyin)', 'Xiaohongshu']"
6105,Grade 6,1,Male,1,I live with my parents,2,Yes,1,One,1,I have an older sister,1,Neutral,3,Rarely,2,"['Novels', 'Short stories', 'Comic books']","1,2,5",Never,1,Rarely,2,Neutral,3,No,2,No,2,Neutral,3,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities']","1,2,3,4,5,6,7",Math,1,Physics,6,Chinese,4,30 minutes to 1 hour,2,Often,4,10+ hours,4,Never,1,Once a week,3,,-1,Neutral,3,Neutral,3,"['Talk to friends or family', 'Play games']","2,3","['Playing video games', 'Reading']","3,5",Less than 1 hour,1,['Other'],8,Once or twice per month,2,Never,1,,-1,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities']","['Novels', 'Short stories', 'Comic books']","['Talk to friends or family', 'Play games']","['Playing video games', 'Reading']",['Other']
6106,Grade 6,1,Male,1,I live in the dorm,1,Yes,1,One,1,I have an older brother,3,Neutral,3,Sometimes,3,['Comic books'],5,Often,4,Often,4,Neutral,3,Yes,1,Yes,1,Agree,4,"['Meeting my friends', 'Participating in fun events', 'Learning new things', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","1,3,4,6,7,8",Art,11,Math,1,Moral Education,10,1-2 hours,3,Always,5,6-7 hours,2,Sometimes,3,2-3 times per week,4,30-60 minutes,3,Healthy,4,A little stressed,2,"['Sports', 'Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Take a walk or go outside']","1,2,3,4,5,8","['Sports', 'Playing video games', 'Watching videos', 'Reading']","1,3,4,5",Around 1 hour,2,"['WeChat', 'Bilibili']","1,6",Once or twice per month,2,Never,1,,-1,,"['Meeting my friends', 'Participating in fun events', 'Learning new things', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']",['Comic books'],"['Sports', 'Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Take a walk or go outside']","['Sports', 'Playing video games', 'Watching videos', 'Reading']","['WeChat', 'Bilibili']"
6107,Grade 6,1,Male,1,Other,4,No,2,,-1,,-1,Confident,4,Often,4,['Novels'],1,Never,1,Often,4,Very confident,5,No,2,Yes,1,Agree,4,['Other'],9,English,2,Geography,9,Math,1,1-2 hours,3,Often,4,8-9 hours,3,Often,4,Every day,5,30-60 minutes,3,Healthy,4,Neutral,3,"['Sports', 'Talk to friends or family', 'Listen to music', 'Watch videos or movies', 'Sleep or rest']","1,2,4,5,9","['Sports', 'Drawing', 'Watching videos', 'Listening to music', 'Socializing with friends', 'Arts and crafts']","1,2,4,7,8,9",Less than 1 hour,1,['WeChat'],1,Never,1,Often (2-3 times a week),5,,-1,,['Other'],['Novels'],"['Sports', 'Talk to friends or family', 'Listen to music', 'Watch videos or movies', 'Sleep or rest']","['Sports', 'Drawing', 'Watching videos', 'Listening to music', 'Socializing with friends', 'Arts and crafts']",['WeChat']
6109,Grade 6,1,Female,2,Other,4,Yes,1,One,1,I have an older sister,1,Neutral,3,Often,4,"['Novels', 'Short stories', 'Comic books']","1,2,5",Rarely,2,Rarely,2,Neutral,3,Yes,1,Yes,1,Neutral,3,['Other'],9,Art,11,Biology,7,Art,11,1-2 hours,3,Often,4,6-7 hours,2,Sometimes,3,2-3 times per week,4,More than 1 hour,4,Healthy,4,A little stressed,2,"['Listen to music', 'Watch videos or movies', 'Draw or create art']","4,5,7","['Watching videos', 'Listening to music', 'Socializing with friends']","4,7,8",2 hours,3,"['WeChat', 'QQ']","1,3",Once or twice per month,2,Often (2-3 times a week),5,,-1,,['Other'],"['Novels', 'Short stories', 'Comic books']","['Listen to music', 'Watch videos or movies', 'Draw or create art']","['Watching videos', 'Listening to music', 'Socializing with friends']","['WeChat', 'QQ']"
6110,Grade 6,1,Male,1,I live with my parents,2,No,2,,-1,,-1,Not confident at all,1,Rarely,2,['School materials'],4,Never,1,Sometimes,3,Not confident at all,1,Yes,1,No,2,Agree,4,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","1,2,3,4,5,6,7,8",,-1,,-1,,-1,More than 2 hours,4,Sometimes,3,Less than 6 hours,1,Never,1,Every day,5,15-30 minutes,2,Healthy,4,Very stressed,5,"['Sports', 'Play games', 'Listen to music', 'Sleep or rest']","1,3,4,9","['Sports', 'Playing video games', 'Listening to music', 'Socializing with friends']","1,3,7,8",Around 1 hour,2,['WeChat'],1,Never,1,Never,1,,-1,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']",['School materials'],"['Sports', 'Play games', 'Listen to music', 'Sleep or rest']","['Sports', 'Playing video games', 'Listening to music', 'Socializing with friends']",['WeChat']
6111,Grade 6,1,Female,2,Other,4,No,2,,-1,,-1,Neutral,3,Every day,5,"['Novels', 'Comic books']","1,5",Often,4,Always,5,Neutral,3,Yes,1,Yes,1,Neutral,3,"['Meeting my friends', 'Exploring my favorite subjects', 'Enjoying the school environment']","1,6,8",Moral Education,10,Math,1,P.E.,12,1-2 hours,3,Sometimes,3,8-9 hours,3,Sometimes,3,Once a week,3,Less than 15 minutes,1,A little,2,Neutral,3,"['Play games', 'Listen to music', 'Watch videos or movies', 'Draw or create art', 'Sleep or rest', 'Other']","3,4,5,7,9,10","['Drawing', 'Playing video games', 'Watching videos', 'Listening to music', 'Socializing with friends']","2,3,4,7,8",Less than 1 hour,1,"['WeChat', 'Xiaohongshu', 'Bilibili']","1,4,6",Never,1,Occasionally (Once a month),2,,-1,,"['Meeting my friends', 'Exploring my favorite subjects', 'Enjoying the school environment']","['Novels', 'Comic books']","['Play games', 'Listen to music', 'Watch videos or movies', 'Draw or create art', 'Sleep or rest', 'Other']","['Drawing', 'Playing video games', 'Watching videos', 'Listening to music', 'Socializing with friends']","['WeChat', 'Xiaohongshu', 'Bilibili']"
